Symbol,Security
A,Agilent Technologies
ABBV,AbbVie
ABT,Abbott Laboratories
ALGN,Align Technology
AMGN,Amgen
BAX,Baxter International
BDX,Becton Dickinson
BIIB,Biogen
BMY,Bristol Myers Squibb
BSX,Boston Scientific
CAH,Cardinal Health
CI,Cigna
CNC,Centene Corporation
COO,Cooper Companies (The)
COR,Cencora
CRL,Charles River Laboratories
CVS,CVS Health
DGX,Quest Diagnostics
DHR,Danaher Corporation
DVA,DaVita
DXCM,Dexcom
ELV,Elevance Health
EW,Edwards Lifesciences
GEHC,GE HealthCare
GILD,Gilead Sciences
HCA,HCA Healthcare
HOLX,Hologic
HSIC,Henry Schein
HUM,Humana
IDXX,Idexx Laboratories
INCY,Incyte
IQV,IQVIA
ISRG,Intuitive Surgical
JNJ,Johnson & Johnson
LH,Labcorp
LLY,Lilly (Eli)
MCK,McKesson Corporation
MDT,Medtronic
MOH,Molina Healthcare
MRK,Merck & Co.
MRNA,Moderna
MTD,Mettler Toledo
PFE,Pfizer
PODD,Insulet Corporation
REGN,Regeneron Pharmaceuticals
RMD,ResMed
RVTY,Revvity
SOLV,Solventum
STE,Steris
SYK,Stryker Corporation
TECH,Bio-Techne
TMO,Thermo Fisher Scientific
UHS,Universal Health Services
UNH,UnitedHealth Group
VRTX,Vertex Pharmaceuticals
VTRS,Viatris
WAT,Waters Corporation
WST,West Pharmaceutical Services
ZBH,Zimmer Biomet
ZTS,Zoetis
